"jour","heure","p_value","med_cible","med_autres","diff_pct","epsilon2","p_bonf","p_bh","sig_bf","sig_bh"
"Jeudi",20,7.00220879054425e-17,23433,20981,11.7,0.048,6.65209835101704e-15,3.91299903001002e-16,TRUE,TRUE
"Jeudi",21,3.92135448513532e-14,16111,14008,15,0.039,3.72528676087856e-12,1.61968989603415e-13,TRUE,TRUE
"Jeudi",22,7.51593779454211e-08,12225,10683,14.4,0.019,7.140140904815e-06,1.87898444863553e-07,TRUE,TRUE
"Jeudi",23,1.70844270447463e-08,7615,6293,21,0.021,1.6230205692509e-06,4.77358990956147e-08,TRUE,TRUE
"Vendredi",5,0.33575460527715,6460,6375,1.3,0,1,0.384297439775051,FALSE,FALSE
"Vendredi",6,4.96347111497113e-17,17199,18060,-4.8,0.048,4.71529755922257e-15,2.94706097451411e-16,TRUE,TRUE
"Vendredi",7,2.50833442095088e-11,51992,56263,-7.6,0.03,2.38291769990333e-09,8.82562111075308e-11,TRUE,TRUE
"Vendredi",8,1.58908310590279e-16,57109,61624,-7.3,0.047,1.50962895060765e-14,8.38682750337582e-16,TRUE,TRUE
"Vendredi",9,0.00715213926395412,37861,38551,-1.8,0.004,0.679453230075641,0.0117147108633731,FALSE,TRUE
"Vendredi",10,0.26423284701988,32007,31707,0.9,0,1,0.317748360340362,FALSE,FALSE
"Vendredi",11,0.0345668441113041,41437,40482,2.4,0.002,1,0.0469121455796269,FALSE,TRUE
"Vendredi",12,0.198370569913806,48348,47076,2.7,0,1,0.241605181305277,FALSE,FALSE
"Vendredi",13,0.00101218855315862,48683,47984,1.5,0.007,0.0961579125500692,0.00168698092193104,FALSE,TRUE
"Vendredi",14,0.00852621443885422,41210,39621,4,0.004,0.809990371691151,0.0130643608337282,FALSE,TRUE
"Vendredi",15,2.51639526676281e-12,50864,47823,6.4,0.033,2.39057550342467e-10,9.56230201369868e-12,TRUE,TRUE
"Vendredi",16,0.0244749391656569,69076,66398,4,0.003,1,0.0347032719513045,FALSE,TRUE
"Vendredi",17,1.37273787213106e-15,69595,74945,-7.1,0.044,1.3041009785245e-13,6.75439254480046e-15,TRUE,TRUE
"Vendredi",18,1.1058601061431e-10,54856,57916,-5.3,0.028,1.05056710083594e-08,3.62264517529635e-10,TRUE,TRUE
"Vendredi",19,8.10465907089573e-15,38185,35551,7.4,0.041,7.69942611735095e-13,3.66639338921474e-14,TRUE,TRUE
"Vendredi",20,3.00711453158301e-23,23658,20934,13,0.068,2.85675880500386e-21,2.19750677307989e-22,TRUE,TRUE
"Vendredi",21,3.55444576534004e-27,16675,13941,19.6,0.08,3.37672347707303e-25,3.37672347707303e-26,TRUE,TRUE
"Vendredi",22,5.15595172578436e-62,15133,10431,45.1,0.191,4.89815413949515e-60,1.63271804649838e-60,TRUE,TRUE
"Vendredi",23,4.17754620083423e-94,12044,6144,96,0.293,3.96866889079252e-92,3.96866889079252e-92,TRUE,TRUE
