"arret_code","arret_nom","n_collisions","montees","collisions_par_Mmontees"
"PNEV00","Place de Neuve",13,4213070.41,3.1
"PNEV01","Place de Neuve",15,2816515.56,5.3
"PNEV02","Place de Neuve",10,7219501.53,1.4
"PNEV03","Place de Neuve",18,5831076.15,3.1
"PONT01","Pontets",1,1916662.71,0.5
"PONT02","Pontets",3,1802315.93,1.7
"POTE00","Poterie",21,9454332.96,2.2
"POTE01","Poterie",9,7066521.81,1.3
"PRBE02","Bernex-P+R",1,2910052.79,0.3
"PRBE03","Bernex-P+R",1,1038444.43,1
"PRPI01","Pré-Picot",4,1434754.64,2.8
"PRRI00","Prairie",33,5391272.42,6.1
"PRRI01","Prairie",30,3946822.46,7.6
"PRSM02","Sous-Moulin",9,4410097.07,2
"PRVG01","Veigy-Douane",1,1162147.19,0.9
"PSAC00","Petit-Saconnex",3,1722165.09,1.7
"PTAR00","Pont-d'Arve",41,10913392.02,3.8
"PTAR01","Pont-d'Arve",47,6082783.98,7.7
"PTAR02","Pont-d'Arve",36,3016397.35,11.9
"PTLA00","Petit-Lancy-Place",7,3713288.72,1.9
"PTLA01","Petit-Lancy-Place",2,4765158.65,0.4
"PTLA02","Petit-Lancy-Place",1,1534205.23,0.7
"PXPO01","Palexpo",5,1475791.51,3.4
"QARV01","Queue-d'Arve",1,1704728.9,0.6
"QUID00","Quidort",1,1585631.65,0.6
"QUID01","Quidort",2,2959182.07,0.7
"RAVI01","Ravières",3,1048583.15,2.9
"RIEU00","Rieu",13,2386724.2,5.4
"RIEU01","Rieu",7,1006129.09,7
"RIEU03","Rieu",6,1822454.72,3.3
"RIGO00","Genève-Sécheron-Gare",10,1160140.3,8.6
"RIVE00","Rive",38,13955544.69,2.7
"RIVE01","Rive",46,1884578.1,24.4
"RIVE02","Rive",10,2411225.37,4.1
"RIVE03","Rive",37,12735517.75,2.9
"RIVE04","Rive",11,5286741.63,2.1
"RIVE06","Rive",20,8487449.53,2.4
"RIVE08","Rive",33,14755086.39,2.2
"RIVE09","Rive",23,7387581.68,3.1
"RLAC00","Rue du Lac",36,5497606.01,6.5
"RMOU01","Carouge, Mouettes",6,1263508.36,4.7
"SCLO00","Sainte-Clotilde",27,1417507.03,19
"SCLO01","Sainte-Clotilde",3,3000970.03,1
"SECH00","Perle du Lac",5,2078791.84,2.4
"SERV00","Servette",13,16755551.73,0.8
"SERV01","Servette",15,14674649.24,1
"SERV02","Servette",16,3576874.45,4.5
"SERV03","Servette",8,2076339.65,3.9
"SEYM00","Seymaz",15,1670359.48,9
"SIGL00","SIG Lignon",1,1418519.64,0.7
"SJCE01","Saint-Julien-Centre",1,2382200.56,0.4
"SOCI00","Contrat-Social",18,1760678.44,10.2
"SOCI01","Contrat-Social",7,2268952.29,3.1
"STAL00","De-Staël",7,1841150.79,3.8
"STAL01","De-Staël",14,1481388.92,9.5
"STGE00","Grand-Lancy, Stade de Genève",15,3535081.93,4.2
"STGE01","Grand-Lancy, Stade de Genève",13,2102814.41,6.2
"STGE03","Grand-Lancy, Stade de Genève",17,4045008.82,4.2
"STND00","Stand",21,5886072.61,3.6
"STND01","Stand",27,3541526.75,7.6
"STND02","Stand",14,5396985.25,2.6
"STND03","Stand",4,8635816.58,0.5
"TCAR00","Carouge-Tours",31,2448666.92,12.7
"TCAR02","Carouge-Tours",29,2317759.22,12.5
"TCAR03","Carouge-Tours",16,3788621.58,4.2
"TCAR04","Carouge-Tours",6,4674597.42,1.3
"TLIG00","Lignon-Tours",11,1203904.62,9.1
"TLIG01","Lignon-Tours",1,1272849.2,0.8
"TLIG02","Lignon-Tours",1,3101632.2,0.3
"TOCO00","Tour-de-Contrôle",11,1386556.13,7.9
"TOUR00","Tourelle",5,2498775.25,2
"TRAN00","Tranchées",25,1130108.24,22.1
"TRBL00","Trèfle-Blanc",2,1634846.3,1.2
"TRLL01","La Traille",3,1071681.66,2.8
"TRMB00","Trembley",6,1485900.5,4
"TRSI00","Terrassière",13,5838912.87,2.2
"TRSI01","Terrassière",30,7226528.37,4.2
"TRSI02","Terrassière",31,4264842.45,7.3
"TRSI03","Terrassière",35,3730153.15,9.4
"TVDO00","Thônex-Vallard",25,3512861.44,7.1
"UNIM01","Uni-Mail",6,6398269.66,0.9
"UNIM02","Uni-Mail",13,10158386.18,1.3
"VARV01","Val-d'Arve",4,2159912.68,1.9
"VAUD01","Vaudagne",2,5499416.69,0.4
"VECR01","Vernier-Gare/Croisette",26,2125999.75,12.2
"VEEC01","Vernier-Ecole",14,2893370.83,4.8
"VELO01","Vélodrome",4,1645336.56,2.4
"VEMA01","Vernier-Marché",15,2142296.39,7
"VEVI00","Vernier-Village",7,3822127.96,1.8
"VIDO01","Vidollet",3,1148656.06,2.6
"VIDO02","Vidollet",6,1193345.94,5
"VILL00","Villereuse",31,5184998.75,6
"VILL01","Villereuse",15,7305663.44,2.1
"VIUS00","Vieusseux",5,7083092.9,0.7
"VIUS01","Vieusseux",7,3781940.71,1.9
"VLRS01","Velours",9,1249558.07,7.2
"VOLL00","Vollandes",30,4579106.51,6.6
"VRDO00","Veyrier-Douane",4,3577980.32,1.1
"VRNT01","Vernets",3,1136276.12,2.6
"VSNA00","Vésenaz-Village",12,1751727.98,6.9
"VSNA01","Vésenaz-Village",15,3302379.99,4.5
"VTRN02","Veyrier-Tournettes",3,1323171.78,2.3
"VXGA01","Versoix-Gare",1,1214267.37,0.8
"WEBR00","Weber",5,2359656.53,2.1
"WEND00","Wendt",14,1750493.62,8
"WTC00","WTC",11,2662316.91,4.1
"ZIPL10","ZIPLO",1,1349135.35,0.7
