"arret_code","arret_nom","n_collisions"
"CHRM01","Charmilles",11
"CIRQ01","Cirque",11
"CRSY00","Cressy",11
"ESRT00","Les Esserts",11
"ESRT01","Les Esserts",11
"GAUT01","Gautier",11
"GDLA03","Grand-Lancy-Place du 1er-Août",11
"GEVB01","Genève-Eaux-Vives-Gare/Bloch",11
"KRIG00","Krieg",11
"LAUB00","Aubert",11
"LOMB00","Lombard",11
"MUSE01","Muséum",11
"NAVI01","Navigation",11
"PALE10","Palettes",11
"PLGE01","Genève-Plage",11
"STGE04","Grand-Lancy, Stade de Genève",11
"TLIG00","Lignon-Tours",11
"VEGR02","Vernier-Gare/Renfile",11
"VLON00","Vallon",11
"ACAC01","Acacias",10
"BAIR01","Bel-Air",10
"BNDL01","Bandol",10
"BVYL00","Bovy-Lysberg",10
"CHRM02","Charmilles",10
"CHVO04","Ferney-Château",10
"CRGE96","Carouge-Rondeau",10
"CTGY01","Cartigny-Village",10
"CXAB06","Croix d'Ambilly",10
"DE00","Dépôt En-Chardon",10
"DELC00","Délices",10
"ESRT98","Les Esserts",10
"ETCB00","Etang-Casa Bamba",10
"GCAN01","Grange-Canal",10
"GDLA00","Grand-Lancy-Place du 1er-Août",10
"GOS01","Gos",10
"JJAC00","Jean-Jacques",10
"MAPA00","Maison de la Paix",10
"ONEX00","Onex-Salle communale",10
"ONMA00","Onex-Marché",10
"PARC02","Parc et plage des Eaux-Vives",10
"PLDI00","Palladium",10
"PLDI01","Palladium",10
"PLPA03","Plainpalais",10
"PNEV02","Place de Neuve",10
"POMI02","Le Pommier",10
"POTE01","Poterie",10
"PRSM00","Sous-Moulin",10
"PRSM02","Sous-Moulin",10
"RIGO00","Genève-Sécheron-Gare",10
"RIVE02","Rive",10
"RIVE05","Rive",10
"SERV03","Servette",10
"SYGA00","Satigny-Gare",10
"AIRE01","Aïre",9
"AREN01","Genève-Aéroport, gare-Arena",9
"BLDO01","Blandonnet",9
"BMON01","Bout-du-Monde",9
"BNDL98","Bandol",9
"BSOL01","Genève, Clinique Générale",9
"CANO01","Canonnière",9
"CBRI01","De-Chateaubriand",9
"CIRQ00","Cirque",9
"CLDR01","Calandrini",9
"CLIG00","Lignon-Cité",9
"CRCO05","Confignon-Croisée",9
"CRIG00","Cologny, Righi",9
"DELC03","Délices",9
"DODE01","La Dode",9
"EPIN02","Epinettes",9
"GCHG00","Genève-Champel-Gare",9
"GETE01","De-Ternier",9
"GLAI00","Galaise",9
"GROT00","Grottes",9
"GSON00","Graveson",9
"INDT01","Industrielle",9
"JOCT00","Jonction",9
"JOCT08","Jonction",9
"MAIX01","Maisonnex",9
"ONEX01","Onex-Salle communale",9
"PEIL00","Peillonnex",9
"PITH01","Pictet-Thellusson",9
"PLOU00","Plan-les-Ouates-Mairie",9
"PRGM07","Meyrin-Gare",9
"PTLA00","Petit-Lancy-Place",9
"PTLA99","Petit-Lancy-Place",9
"SIGN00","Signal",9
"TOUR01","Tourelle",9
"VARV00","Val-d'Arve",9
"VAUD00","Vaudagne",9
"VIUS01","Vieusseux",9
"VLRS01","Velours",9
"VXBO01","Versoix-Bourg",9
"AERO01","Genève-Aéroport-Terminal",8
"AERO06","Genève-Aéroport-Terminal",8
"ARME01","Armes",8
"BELL01","Bellerive",8
"BHET00","Lancy-Bachet-Gare",8
"BLDO04","Blandonnet",8
"BOCA01","Bois-Caran",8
"CAMA96","Carouge-Marché",8
"CERN01","CERN",8
"CIVI00","Corsier-Village",8
"CLAP00","Place Claparède",8
"CRGE04","Carouge-Rondeau",8
"CTMI01","Contamines",8
"CTMI03","Contamines",8
"DB00","Dépôt Bachet",8
"FLRI00","Florissant",8
"FONT00","Fontenette",8
"GAEV03","Genève-Eaux-Vives-Gare",8
"GCHN02","Gros-Chêne",8
"GEVV02","Genève-Eaux-Vives-Gare/Vadier",8
"HOPI01","Hôpital",8
"HTOU02","Hôpital de La Tour",8
"ISAM00","Mercier",8
"LAUB01","Aubert",8
"MGRE00","Montalègre",8
"MOIL08","Moillesulaz",8
"PALE09","Palettes",8
"PLPA07","Plainpalais",8
"QARV00","Queue-d'Arve",8
"RIEU03","Rieu",8
"SJHU00","Saint-Julien-Hutins",8
"STAL00","De-Staël",8
"TRTI07","Tunnel Routier",8
"VEGR03","Vernier-Gare/Renfile",8
"VRBE00","Varembé",8
"WEND01","Wendt",8
"AIVT00","Aire-la-Ville-Treulaz",7
"AJUR00","Ferney, centre",7
"ATHE04","Athénée",7
"CABO00","Bains de Cressy",7
"CAMA95","Carouge-Marché",7
"CAPI01","Capite",7
"CCHA02","Crêts-de-Champel",7
"CCLA01","Collège Claparède",7
"CHAR00","Charrot",7
"CIRQ03","Cirque",7
"CMAR00","Camille-Martin",7
"CRCO00","Confignon-Croisée",7
"CVIN10","Gare Cornavin",7
"CVIN78","Gare Cornavin",7
"CVUE01","Claire-Vue",7
"FRAN01","Franchises",7
"GALI00","Gaillard-Libération",7
"GAVA01","Gavard",7
"GDLA01","Grand-Lancy-Place du 1er-Août",7
"GPRE02","Grand-Pré",7
"GSMA01","Grand-Saconnex-Mairie",7
"JVIL01","De-Joinville",7
"LAUB03","Aubert",7
"MRNE00","Moraines",7
"MTOU00","Meinier-Tour",7
"MUET02","Musée d'ethnographie",7
"OMSB01","Genève, OMS-BIT",7
"PINC01","Pinchat-la-Tour",7
"PLEY00","Palais Eynard",7
"PLOU01","Plan-les-Ouates-Mairie",7
"POST00","Poste",7
"PSIE01","Pont de Sierne",7
"QUID98","Quidort",7
"RIEU01","Rieu",7
"SOCI01","Contrat-Social",7
"TCRE00","Tour-Carrée",7
"TCRE01","Tour-Carrée",7
"TRBL01","Trèfle-Blanc",7
"TRMB00","Trembley",7
"VACA01","Vernier, Avanchets-Casaï",7
"VDUR01","Duret",7
"VEVI00","Vernier-Village",7
"VLAI00","Valais",7
"VLRS00","Velours",7
"VSEG00","Vésenaz-Eglise",7
"WEBR01","Weber",7
"AAIN00","Avenue de l'Ain",6
"AJUR01","Ferney, centre",6
"ATEC02","Athenaz-Ecole",6
"AUGS96","Augustins",6
"BAIR18","Bel-Air",6
"BARD00","Barde",6
"BHET03","Lancy-Bachet-Gare",6
"BSOL00","Genève, Clinique Générale",6
"BUTN01","Pont-Butin",6
"CALA01","Calas",6
"CBAC00","Chemin du Bac",6
"CBAC01","Chemin du Bac",6
"CCLA00","Collège Claparède",6
"CEPR01","Chêne-Bougeries, Rigaud",6
"CHNE02","Chêne-Bougeries, Village",6
"CLGE00","Collonge",6
"CMRE01","Communes-Réunies",6
"CORD01","Concorde",6
"CRGE98","Carouge-Rondeau",6
"CRIG01","Cologny, Righi",6
"CRTE03","Crête",6
"CVUE00","Claire-Vue",6
"CZPL00","Croix-de-Rozon-Place",6
"DANC01","Dancet",6
"ETOI02","Lancy-Pont-Rouge-Gare/Etoile",6
"ETOI05","Lancy-Pont-Rouge-Gare/Etoile",6
"FEPO01","Ferney, Poterie",6
"FLCE00","Florence",6
"FLCE01","Florence",6
"FONT01","Fontenette",6
"GCHG01","Genève-Champel-Gare",6
"GETE00","De-Ternier",6
"HOPI03","Hôpital",6
"JALP01","Jardin-Alpin-Vivarium",6
"JOCT01","Jonction",6
"JOPO00","Genève, Pointe de la Jonction",6
"LAUB02","Aubert",6
"MALA02","Malagnou",6
"MAON00","Maison Onésienne",6
"MLBA00","Moillebeau",6
"MLVT00","Saint-Genis-Porte de France",6
"MPAR01","Maison des Parlements",6
"MTOU01","Meinier-Tour",6
"MUSE03","Muséum",6
"PINC00","Pinchat-la-Tour",6
"POGA00","Pougny-Gare",6
"PRSM05","Sous-Moulin",6
"PXPO01","Palexpo",6
"QARV02","Queue-d'Arve",6
"RMOU00","Carouge, Mouettes",6
"RMOU01","Carouge, Mouettes",6
"RUSS00","Russin-Village",6
"SSCH01","Sous-Chevrens",6
"TCAR04","Carouge-Tours",6
"TOUR00","Tourelle",6
"UNIM01","Uni-Mail",6
"UNIM99","Uni-Mail",6
"VEVI01","Vernier-Village",6
"VIDO02","Vidollet",6
"VUIL00","Bernex-Vuillonnex",6
"WEBR00","Weber",6
"_MOILS","Moillesulaz - CH",6
"AAIN02","Avenue de l'Ain",5
"AERO07","Genève-Aéroport-Terminal",5
"AGAZ00","Usine à Gaz",5
"AGAZ01","Usine à Gaz",5
"ANDO00","Anières-Douane",5
"AREN00","Genève-Aéroport, gare-Arena",5
"ARME99","Armes",5
"ATHE03","Athénée",5
"BAUD10","Curé-Baud",5
"BELC00","Belle-Cour",5
"BLTE01","La Belotte",5
"BNDL00","Bandol",5
"BNDL99","Bandol",5
"BXPL00","Bernex-Place",5
"CBGO00","Chêne-Bourg-Gare-Place",5
"CCHA01","Crêts-de-Champel",5
"CCOL00","Cologny-Croisée",5
"CERN00","CERN",5
"CERN02","CERN",5
"CFIL01","Plan-les-Ouates, Champ-Filles",5
"CING00","Camping Bois-de-Bay",5
"CLDR00","Calandrini",5
"CLIG01","Lignon-Cité",5
"COCH00","Chêne-Bougeries, Conches place",5
"CRGE09","Carouge-Rondeau",5
"CYTE01","Cologny-Temple",5
"EMED00","Ecole-de-Médecine",5
"ESRT03","Les Esserts",5
"FEPO00","Ferney, Poterie",5
"FOUR00","Fourches",5
"FRAN00","Franchises",5
"FRET01","Fret",5
"FRRE03","Bois-des-Frères",5
"GLOU00","Galeries du Loup",5
"GPRE01","Grand-Pré",5
"HERM02","Hermance-Village",5
"JUMR01","Jussy-Meurets",5
"LAMA01","Lancy-Mairie",5
"MCON00","Maconnex-Arcades",5
"MIRE00","Miremont",5
"MOIL02","Moillesulaz",5
"MUET01","Musée d'ethnographie",5
"MYRN00","Meyrin-Village",5
"NATI97","Nations",5
"ONBC00","Onex-Bois Carrien",5
"ONMA01","Onex-Marché",5
"PBAL01","Petit-Bel-Air",5
"PBAL03","Petit-Bel-Air",5
"PNEV04","Place de Neuve",5
"PUMA00","Puplinge-Mairie",5
"PYVI00","Pregny-Village",5
"RUTH00","Ruth",5
"SECH00","Perle du Lac",5
"SIER00","Sierne",5
"SJCE00","Saint-Julien-Centre",5
"SJDO01","Saint-Julien-Douane",5
"SRVI01","Soral, église",5
"STAL03","De-Staël",5
"STND04","Stand",5
"SUSE01","Susette",5
"TCAR01","Carouge-Tours",5
"TOCO01","Tour-de-Contrôle",5
"TRLL01","La Traille",5
"TRTI08","Tunnel Routier",5
"UBER01","Petit-Lancy, Morgines",5
"UNIM04","Uni-Mail",5
"UNIM98","Uni-Mail",5
"VARV01","Val-d'Arve",5
"VERB01","Verbant",5
"VESY00","Vessy-Plateau",5
"VIUS00","Vieusseux",5
"VLON01","Vallon",5
"VRTC00","Gex-Vertes Campagnes",5
"VUIL01","Bernex-Vuillonnex",5
"_GSDNS","Grand-Saconnex-Dne - CH",5
"AERO02","Genève-Aéroport-Terminal",4
"AIVC00","Aire-la-Ville-Croisée",4
"ARAR01","Arare",4
"BALX01","Balexert",4
"BARD01","Barde",4
"BCRE00","Baulacre",4
"BISA00","Belle-Idée-Réception",4
"BLID01","Belle-Idée-Centre",4
"BLTE00","La Belotte",4
"BOLA01","Bois-du-Lan",4
"BSSN00","Bossons",4
"BVYLST","Bovy-Lysberg (ST)",4
"CAST01","Castan",4
"CBAC02","Chemin du Bac",4
"CCAP01","Crêts-de-La-Capite",4
"CCHA00","Crêts-de-Champel",4
"CFLO01","Crêts-de-Florissant",4
"CHAR01","Charrot",4
"CHAV00","Chavannes-des-Bois",4
"CHPR00","Vésenaz, Princes",4
"CLYS00","Bellevue, Ermitage",4
"CODN01","Colladon",4
"COUT03","Coutance",4
"CRCO04","Confignon-Croisée",4
"CRGE02","Carouge-Rondeau",4
"CYNT00","Cessy-Centre",4
"CYRA01","Chancy-Raclerets",4
"CZPL01","Croix-de-Rozon-Place",4
"DC00","Dépôt Bachet Coursive",4
"DELC01","Délices",4
"EDVA01","Vallet",4
"FEMA02","Ferney-Mairie",4
"GAMI00","Gaillard-Millet",4
"GFAQ02","Grange-Falquet",4
"GROT01","Grottes",4
"GRVI00","Meyrin-Gravière",4
"GSAC95","Grand-Saconnex-Place",4
"JJAC01","Jean-Jacques",4
"JVUY00","Vüy",4
"LERO03","Le Rolliet",4
"MAIL00","Maillard",4
"MAZE00","Mazettes",4
"MGRE01","Montalègre",4
"MIDE01","Mon-Idée",4
"MNEU00","Maisons-Neuves",4
"MONN00","Jussy, Monniaz",4
"MOTU01","Monthoux",4
"MTTA01","Motta",4
"ORMA00","Ormeaux",4
"ORMA01","Ormeaux",4
"PBAL05","Petit-Bel-Air",4
"PIBO00","Pierre à Bochet",4
"PICY01","Lancy-Piscine",4
"PLLT00","Pallanterie",4
"PMAR01","Puplinge, Pré-Marquis",4
"POST01","Poste",4
"PRLA01","La Pralay",4
"PRPI01","Pré-Picot",4
"PRSM03","Sous-Moulin",4
"PSAC00","Petit-Saconnex",4
"PSAC01","Petit-Saconnex",4
"PSTA00","Parc Stagni",4
"PUMA01","Puplinge-Mairie",4
"RAVI00","Ravières",4
"RAVI01","Ravières",4
"RIEU02","Rieu",4
"ROUS00","Collège Rousseau",4
"SEUJ01","Seujet",4
"SEVI00","Sézenove-Village",4
"SISM00","L.-Sismondi",4
"STND03","Stand",4
"SUSE00","Susette",4
"TRNT06","Tronchet",4
"TRTI02","Tunnel Routier",4
"VELO01","Vélodrome",4
"VRDO00","Veyrier-Douane",4
"VRNT00","Vernets",4
"VSEG01","Vésenaz-Eglise",4
"VSUI00","Village-Suisse",4
"VSUI01","Village-Suisse",4
"AAIN01","Avenue de l'Ain",3
"AIRE00","Aïre",3
"ANCH00","Anières-Chavannes",3
"APIA01","Appia",3
"ARME97","Armes",3
"ATVI00","Athenaz-Village",3
"AUGS04","Augustins",3
"AVAN00","Vernier, Avanchets-Etang",3
"AVIA00","Aviateurs",3
"AVIA01","Aviateurs",3
"AVMG00","Avusy-Moulin-de-la-Grave",3
"BAUD04","Curé-Baud",3
"BCRE01","Baulacre",3
"BELL00","Bellerive",3
"BHET08","Lancy-Bachet-Gare",3
"BLAN99","Blanche",3
"BLDO02","Blandonnet",3
"BLDO06","Blandonnet",3
"BOHT03","Bouchet",3
"BOHT05","Bouchet",3
"BOLA00","Bois-du-Lan",3
"BOUV01","Les Bouveries",3
"BRGE00","Bergère",3
"BTTT01","Belle-Terre-Traité-de-Turin",3
"BXEG00","Bernex-Eglise",3
"BXGU00","Bernex-Guillon",3
"BXMA01","Bernex-Mairie",3
"BXPL02","Bernex-Place",3
"BXSA01","Bernex-Saule",3
"CANO00","Canonnière",3
"CBAC03","Chemin du Bac",3
"CBPL00","Chambésy-Place",3
"CCAP00","Crêts-de-La-Capite",3
"CETX00","Certoux, village",3
"CFLO00","Crêts-de-Florissant",3
"CFOU00","Chemin des Fours",3
"CHLX00","Choulex",3
"CHPR01","Vésenaz, Princes",3
"CHVR00","Chevrier",3
"CHVR01","Chevrier",3
"CLCO00","Clinique La Colline",3
"CLIG02","Lignon-Cité",3
"COLO05","Colovrex",3
"COLX00","Ferney-Levant",3
"CPEL00","La Chapelle",3
"CRBS00","Courbes",3
"CRCO02","Confignon-Croisée",3
"CRTE00","Crête",3
"CTNT00","Cottenets",3
